AD_ID,AD_CLICKS,AD_IMPRESSIONS,AD_SPEND,AD_TARGETING_AGE,AD_TARGETING_EXCLUDED_CONNECTIONS,AD_TARGETING_INTERESTS,AD_TARGETING_PLACEMENTS,AD_TEXT,AD_POTENTIAL_TARGET
2878,0,0,0,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King, Jr., Black history, African- American culture, African-American Civil Rights Movement(1954-68), African- American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"True! To be pretty a girl doesn't need to show her body. It's nothing wrong with being sexy and loving it, but we just have to forget that beauty is not about taking clothes off.",31000000.0
3141,5841,34318,300.00 RUB,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,"I have always admired the strength of Black women to strive for success and here i serve us all again with this delighting success of Barbara Ross-Lee, a physician and the first African-American woman to become the dean of a predominantly white medical school. Thank you for your inspiration; paving the way for young Black girls to dream bigger and achieve greater heights. #PanAfricanism #BlackNationalism #BlackEmpowerment #African Empowerment #AfricanAndProud #BlackAndProud #BlackPride #BlackPower #BlackLivesMatter #Amerikkka #UnapologeticallyBlack #UnapologeticallyAfrican #BlacklnAmerica #BlacklsBeautiful #KnowThySelf #KnowledgeOfSelf #KnowledgeOfSelfIsANationaIity #EconomicEmpowerment #Integration Failed #WhiteLiesMatter #Education #African Unification #AfricanUnity #BlackLove #JusticeOrElse #ProBlack #Regrann #blackexcellence #goals",2900000.0
3387,0,0,0,15 - 40,Exclude people who like The Red Pill,Meme,"News Feed on desktop computers, lnstagram Feed or News Feed on mobile devices",Revealing the uncomfortable truth and supporting conservative ideals! Let's get red pilled!,39000000.0
841,455,3734,748.95 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"A young black guy who was mentally disabled decided to end his life, but will only do that by making the cops kill him. This is absolutely insane in the highest order. He took a gun and ordered his other two brothers to take a video of the whole incident. Michael Ford, at the police vicinity opened fire and got the cop's attention. The filming was still in process as he commanded. The first cops who appeared fired back and almost immediately ended up drawing fire. He gave the other officer a chance to get into position when he opened fire. It's quite not understandable why his own cop shot him and shot the mentality ill man too. This is a good example of sick reality too. Is there any explanation why cops have started shooting each other? Follow my Facebook: https://www.facebook.comnViIliamsandKalvin Subscribe to my YouTube Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.comnVilliams8kalvin",
634,7,20,7.91 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"Most parents aren't prepared for the words, ""Mom, Dad. I'm gay."" For many parents first reaction probably will be ""How will I ever handle this?"" The answer is simple and difficult at the same time: love and acceptance will help to understand your child's sexuality and its meaning to you and your continued relationship with your son or daughter. Some parents feel they would have been happier not knowing about their child's sexuality. They look back to before they knew and recall this time as problem-free - overlooking the distance they often felt from their child during that time. Sometimes parents try to deny what is happening - by rejecting what they're hearing (""It's just a phase; you'll get over it""); by shutting down (""If you choose that lifestyle, I don't want to hear about it""); or by not registering the impact of what we're being told (""That's nice, dear, and what do you want for dinner?""). Such denial often prove as a traumatizing experience for LGBT children. If you as a parent 'II pretend to forgot the truth about your child's sexuality, you would never really know your child. A large part of his or her life would be kept secret from you, and you would never really know the whole person. It is important to accept and understand your child's sexuality because homosexuality and bisexuality are not a phase. While people may experiment for some time with their sexuality, someone who has reached the point of telling a parent that he or she is gay is not usually going through ""a phase"". On the contrary, he or she has given long and hard thought to understanding and acknowledging his or her sexual orientation. So if you're wondering, ""Is she/he sure?"" the answer will almost always be ""yes""! DON'T BE YOUR CHILD'S FIRST CLOSET! #children #lgbt #momdadimgay #gayisok #comingout #acceptance",
2487,29,596,399.98 RUB,18 - 54,,"Human rights, Martin Luther King, Jr., African National Congress, Nelson Mandela, Melanin, Justice, Muhammad Ali, Violence prevention, T- shirt, Black Women Are Beautiful, Pan Africanist Congress of Azania, Malcolm X, Anti-discrimination or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"Attention, everyone! Whether you are participating in the National Day of Protest or not, you can support our movement and show your solidarity. You have a unique opportunity to purchase a branded t-shirt expressing your struggle against police brutality. Make everyone see what you think! https://www.bonfirefunds.com/stop-police-brutality https://www.bonfirefunds.com/national-day-of-protest-1 Order your limited edition Stop Police Brutality custom shirts before 10/20/2016! All proceeds benefit BlackMattersUS. Stop Police Brutality BM",62000000.0
11,31,4802,1960.34 RUB,18 - 65+,,Veterans Day,Instagram Feed,"Veterans Day is coming! There are so many ways to show your support and your gratitude. Millions of Americans change one light to green in a visible location as a symbol of appreciation. Businesses honor veterans with discounts, deals and fee meals on Veterans Day. Check our page for more information. Veterans USA @veterans GovSpending",770000.0
2876,1551,12831,300.00 RUB,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King, Jr., Black history, African- American culture, African-American Civil Rights Movement (1954-68), African- American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,EVERYTHING was once a Black culture! Remember that.,31000000.0
3134,2571,18793,300.00 RUB,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,Loving Kaepernick's outfit. Truth??? #melaninqueen #dope #beautiful #wakeup #wewillsurvive #organize #westandtogether #blacklivesmatter #unite4justice #black #melanin #blackisbeautiful #blacklivesmatter #blackgirlmagic #USA #blackandproud #democrat #republican #Africanamerican #unite4justice #breakingnews #goals #woke,2900000.0
2573,1322,12516,200.00 RUB,18 - 65+,,"Mexico. Latin hip hop. Chicano Movement,. Hispanidad, Lowrider, Chicano rap or La Raza",News Feed on desktop computers or News Feed on mobile devices,Patron Tequila — the great Mexican heritage,43000000.0
1343,0,2,1.75 RUB,35 - 65+,Exclude people who like Stop A.1.,Immigration or Politics,News Feed on desktop computers or News Feed on mobile devices,Close the borders until it's too late. Like to join!,27000000.0
804,10575,185599,48378.85 RUB,18 - 45,Exclude people who like Williams&Kalvin,Black (Color) or Racism in the United States,News Feed on desktop computers or News Feed on mobile devices,We are proud to be black and stand for our community! Join to end the racism in the US.,17000000.0
2871,997,7289,300.00 RUB,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King, Jr., Black history, African- American culture, African-American Civil Rights Movement(1954-68), African- American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"The darker the berry, the sweeter the juice. Like if you agree!",31000000.0
846,897,4657,248.30 RUB,18 - 50,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,Tell me once again that there is no such thing as white privilege.,2000000.0
1046,1555,10940,271.14 RUB,16 - 65+,,"Black nationalism, Pan-Africanism, Police misconduct, African-American culture, African-American Civil Rights Movement(1954-68), African-American history, Black Consciousness Movement, Martin Luther King III, Stop Police Brutality or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,Meet these beautiful lawyers The organization was created to motivate women to in meaningful legal careers.,31000000.0
2143,1518,9738,299.33 RUB,18 - 65+,,"Martin Luther King, Jr., African-American culture, African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,They'll graduate with honours for sure. Black and educated.,17000000.0
1104,1991,11217,400.00 RUB,16 - 65+,,"Pan-Africanism, African-American Civil Rights Movement (1954-68), African-American history or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,Don't be scared to rock your natural hair. Life is short and you only live once on this earth.,24000000.0
2416,116,1459,407.81 RUB,18 - 65+,,Bernie Sanders,News Feed on desktop computers or News Feed on mobile devices,"UC Davis paid $175,000 or more to scrub police pepper spray incident from web searches http://boingboing.net/2016/04/13/uc-davis-spent-1 75000-to-scr.htm I",9500000.0
2812,0,7,29.97 RUB,18 - 65+,Exclude people who like Black4Black,African-American history,"News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers",Support and develop Black-owned business is the key to success! It's time to unite and empower our community.,1800000.0
2489,211,2215,172.48 RUB,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"The famous Black rapper stated in an interview that he isn't connected to the Black rights movement, as it has nothing to do with him. Black Rapper Lil Wayne Dismisses BLM I BM BM",25000000.0
635,2,12,3.85 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"ABOUT 15,500 TRANS PEOPLE ACTIVELY SERVE IN THE MILITARY. It's estimated that over 134000 American veterans are transgender. Not long ago these people were forced into hiding. As a result, many were unable treatments for their gender dysphoria, a state of emotional distress caused by how the gender someone was designated at birth conflicts with their gender identity. Coming out as transgender requires telling everyone in your life about you and enduring the consequences which often means the loss of family, lifelong friends, your job, and being the subject of ridicule, discrimination, and often violence. No one makes the decision easily and no one transitions unless they have to do so. Transphobic slur of stupid politicians like GOP presidential hopeful Mike Huckabee seeking to tremendous efforts of transgender community who are still struggle for equal rights. We know how easily bigots and fools who has power are able to reverse progressive changes for their own benefit. We can't let that happen! These people know what it means to be Transgender and know what it is to serve in our Armed Forces. We respect their opinion in both of these areas, especially over those of Governor Huckabee who has not experienced or accomplished either. #transgender #military #equality #transphobia #mikehackabee",
267,19,397,429.70 RUB,18 - 54,,African American,News Feed on desktop computers or News Feed on mobile devices,"has a history of assaulting people of color; yet he's still in blue. The racist attitude of the Austin Police Department is that they will find any flimsy excuse to brutalize people of color on a nightly basis. Recently, during a Austin Police Assaults A Black American Downtown I Black Matters Black Matters",
2857,340,2325,99.93 RUB,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King, Jr., Black history, African- American Civil Rights Movement(1954-68), African-American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"This girl will prove to everyone how great Black people are! You go, girl!",24000000.0
71,2317,77530,6691.62 RUB,25 - 65+,,"Martin Luther King, Jr., Behaviors: African American(US)","News Feed on desktop computers, Third-party Apps and Websites on mobile devices or News Feed on mobile devices",Breaking news and analysis on the life of African American community in the US! Independent News For Black Amrican community Black Matters Black Matters,29000000.0
2859,38,1690,400.00 RUB,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King, Jr., Black history, African- American culture, African-American Civil Rights Movement (1954-68), African- American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,Kids learn by parents' example. Give them the good one! Repost from,31000000.0
1177,2496,70777,14000.00 RUB,18 - 65+,Exclude people who are going to India Cummings. SayHerName,,News Feed on desktop computers or News Feed on mobile devices,"Join event, don't stay indifferent! New Sandra Bland! We need justice. Come and support. India Cummings. SayHerName",
3296,27,345,200.00 RUB,18 - 65+,,"American Indian Movement, Native American Indian Wisdom, Cherokee language or Cherokee Nation",News Feed on desktop computers or News Feed on mobile devices,"Native American teens made an interesting journey through their ancestral lands. The journey was led by Sarah Pemberton member of the Delaware Nation. Sarah and her partner Kyle Harris created a movie about the journey called ""The Water Gap: Return to the Homelands"" which already won the award at the Native American Film Festival of the Southeast. Propaganda of native culture and traditions is one of most powerful weapons in Native American fight for their rights. People have always tried to destroy things they don't understand. And white people never understood native culture properly. Many teens who had native ancestors deep in the past know nothing about their culture. Films, journeys, even videos on Youtube, can help.",470000.0
2864,0,0,,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King. Jr. Black history. African- American Civil Rights Movement(1954-68), African-American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"Did you know that?! People try to sabotage this truth, by saying it's a lie, but we all know that white people cannot just handle the fact that Black inventors did a huge contribution to the world's culture.",24000000.0
296,1298,12232,1000.00 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"FLASHMOB #BMOVE9: Send in your words of support to the fighters for Black lives. The Move Organization. You are the one who can restore the belief that their efforts were not useless. Back in 1985, a whole village inhabited by members of a Philadelphia-based black liberation group, the MOVE was totally destroyed by a bomb attack organized by Take Part In Flashmob BE MOVE 9 1 Black Matters Black Matters",
512,0,20,21.50 RUB,18 - 59,,Independence or Patriotism,News Feed on desktop computers or News Feed on mobile devices,Stand for the people not the Government! Join the rally in Atlanta this Sunday! American Crusade - Ga,
2826,2369,36208,9087.61 RUB,18 - 65+,Exclude people who like Pan-African roots MOVE,"Hotep, Nelson Mandela, Kemetism, South Africa, Pan-African colours, Kwame Nkrumah, Afrocentrism, Marcus Garvey or Nigeria","News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers",Unapologetically melaneted Kings and Queens are powerful together. Join us!,17000000.0
2094,152,1065,200.00 RUB,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,One big racist down millions others to go. Still Fox News will find a new racist to replace O'Reilly Bill O'Reilly has lost his job at Fox News Channel following reports that five women had been paid millions of dollars to keep quiet about harassment allegations. Bill O'Reilly Is Fired From Fox News BlackMattersUS.com blackmattersus.com,2900000.0
1136,1415,9746,400.00 RUB,16 - 65+,,"Black nationalism, Pan-Africanism, African-American culture, African-American Civil Rights Movement (1954--68), African-American history, Black Consciousness Movement, Martin Luther King Ill or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,Share this and make it go viral. Media won't share this because positive Black male images ifs not okay to display in America.,31000000.0
1980,3464,16702,300.00 RUB,18 - 65+,,"Martin Luther King, Jr.; African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,Absolutely! Support and respect each other.,2900000.0
2074,1013,4973,244.70 RUB,18 - 65+,,"Martin Luther King, Jr., African-American culture, African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,"Congratulations, beautiful Queens! You can achieve any goals if you really believe in yourself. Just motivate yourself.",17000000.0
275,182,2389,236.66 RUB,18 - 54,Exclude people who like Black Matters,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),News Feed on desktop computers or News Feed on mobile devices,"Government and mainstream media have absolutely abandoned citizens in the Flint Water Crisis. It's getting to ages already since the Flint water crisis started, which was caused by government officials failing to treat domestic and drinking water. But it Activists Give Aid To Flint Residents Once Again Black Matters Black Matters",31000000.0
2007,24,345,259.45 RUB,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,"Momma, Did You Hear The News? is a kids' book that aims to help black parents to talk about police brutality ""Momma, Did You Hear The News?"" is a kids' book that aims to help black parents to talk about police brutality This Kids' Book Helps Parents Approach 'The Talk' About Police Brutality BlackMattersUS.com blackmattersus.com",2900000.0
1033,49197,501552,1500.00 RUB,16 - 65+,,"Black nationalism, Pan-Africanism, Police misconduct, African-American culture, African-American Civil Rights Movement(1954-68), African-American history, Black Consciousness Movement, Martin Luther King III, Stop Police Brutality or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,This video may bring tears to your eyes. Make it go viral. We need this unity in our communities.,31000000.0
289,618,4975,472.11 RUB,18 - 54,Exclude people who like Black Matters,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),News Feed on desktop computers or News Feed on mobile devices,"The City of Somerville stands against all violence and all injustice, which is why a Black Lives Matter banner hangs at City Hall. Mayor Joseph Curtatone of Somerville, Massachusetts, boldly said he won't remove Black Lives Matter banner from the City Hall after the local police union asked Massachusetts Mayor Refuses To Remove BLM Banner From City Hall Black Matters Black Matters",31000000.0
1995,603,2395,122.49 RUB,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68). African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,"Black don't crack! No joke! Happy Birthday, Queen.",2900000.0
2466,572,3310,400.00 RUB,18 - 65+,,"Martin Luther King, Jr., My Black is Beautiful, Black is beautiful or Black Girls Rock!",News Feed on desktop computers or News Feed on mobile devices,#blackexcellence #blackperfection #blackbeauty #blackbusiness #africanamerican #blackcommunity #melanin #blackpride #blackout #america #usa #blackscience #education #diversity #blackgirlmgic,12000000.0
1768,146,962,100.00 RUB,18 - 65+,,"CollegeHumor, BuzzFeed or 9GAG",News Feed on desktop computers or News Feed on mobile devices,Who else has done this more than 10 times?,59000000.0
1100,3640,34914,500.00 RUB,16 - 65+,,"Pan-Africanism, African-American Civil Rights Movement (1954-68), African-American history or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"COPS SHOT AND KILLED CALIFORNIA BLACK WOMAN WHO STRUGGLED WITH BIPOLAR DISORDER Michelle Lee Shirley was fatally shot by Torrance police officer as she approached a group of police officers in her car. Police arrived at the scene after a series of 911 calls in which they were warned of a reckless driver and her erratic behavior. When cop saw Shirley, who was off her bipolar medication, they boxed her in with their patrol cars. When she started approaching them, law enforcement officers opened fire at her. The incident resulted in a fatal shooting. After the shooting, Shirley was taken to County Harbor-UCLA Medical Center and was pronounced dead. Michelle Shirley, 39, who received a diagnosis of a mental disorder tried to balance motherhood and law school. In a video titled, ""It's Up to Us,"" she was asking people to take seriously a mental disorder and seek help because ignoring it can take away years of people's lives. Did you know that people with mental illness are 16 times more likely to be killed during a police encounter than mental healthy? Did you know that half of people shot by cops are mentally ill? Police officers are not equipped with firearms to deal with mental illness in the field. But they are equipped to protect us from criminals.",24000000.0
